"date","hits","geo","time","keyword","gprop","category"
2015-07-05,75,"DE","today+5-y","Aldi Nord","web",0
2015-07-12,69,"DE","today+5-y","Aldi Nord","web",0
2015-07-19,71,"DE","today+5-y","Aldi Nord","web",0
2015-07-26,77,"DE","today+5-y","Aldi Nord","web",0
2015-08-02,72,"DE","today+5-y","Aldi Nord","web",0
2015-08-09,71,"DE","today+5-y","Aldi Nord","web",0
2015-08-16,79,"DE","today+5-y","Aldi Nord","web",0
2015-08-23,86,"DE","today+5-y","Aldi Nord","web",0
2015-08-30,79,"DE","today+5-y","Aldi Nord","web",0
2015-09-06,74,"DE","today+5-y","Aldi Nord","web",0
2015-09-13,80,"DE","today+5-y","Aldi Nord","web",0
2015-09-20,92,"DE","today+5-y","Aldi Nord","web",0
2015-09-27,81,"DE","today+5-y","Aldi Nord","web",0
2015-10-04,89,"DE","today+5-y","Aldi Nord","web",0
2015-10-11,91,"DE","today+5-y","Aldi Nord","web",0
2015-10-18,91,"DE","today+5-y","Aldi Nord","web",0
2015-10-25,97,"DE","today+5-y","Aldi Nord","web",0
2015-11-01,100,"DE","today+5-y","Aldi Nord","web",0
2015-11-08,92,"DE","today+5-y","Aldi Nord","web",0
2015-11-15,91,"DE","today+5-y","Aldi Nord","web",0
2015-11-22,97,"DE","today+5-y","Aldi Nord","web",0
2015-11-29,87,"DE","today+5-y","Aldi Nord","web",0
2015-12-06,89,"DE","today+5-y","Aldi Nord","web",0
2015-12-13,85,"DE","today+5-y","Aldi Nord","web",0
2015-12-20,78,"DE","today+5-y","Aldi Nord","web",0
2015-12-27,93,"DE","today+5-y","Aldi Nord","web",0
2016-01-03,71,"DE","today+5-y","Aldi Nord","web",0
2016-01-10,65,"DE","today+5-y","Aldi Nord","web",0
2016-01-17,70,"DE","today+5-y","Aldi Nord","web",0
2016-01-24,72,"DE","today+5-y","Aldi Nord","web",0
2016-01-31,68,"DE","today+5-y","Aldi Nord","web",0
2016-02-07,70,"DE","today+5-y","Aldi Nord","web",0
2016-02-14,70,"DE","today+5-y","Aldi Nord","web",0
2016-02-21,69,"DE","today+5-y","Aldi Nord","web",0
2016-02-28,67,"DE","today+5-y","Aldi Nord","web",0
2016-03-06,69,"DE","today+5-y","Aldi Nord","web",0
2016-03-13,71,"DE","today+5-y","Aldi Nord","web",0
2016-03-20,72,"DE","today+5-y","Aldi Nord","web",0
2016-03-27,75,"DE","today+5-y","Aldi Nord","web",0
2016-04-03,82,"DE","today+5-y","Aldi Nord","web",0
2016-04-10,83,"DE","today+5-y","Aldi Nord","web",0
2016-04-17,79,"DE","today+5-y","Aldi Nord","web",0
2016-04-24,75,"DE","today+5-y","Aldi Nord","web",0
2016-05-01,75,"DE","today+5-y","Aldi Nord","web",0
2016-05-08,76,"DE","today+5-y","Aldi Nord","web",0
2016-05-15,65,"DE","today+5-y","Aldi Nord","web",0
2016-05-22,75,"DE","today+5-y","Aldi Nord","web",0
2016-05-29,71,"DE","today+5-y","Aldi Nord","web",0
2016-06-05,69,"DE","today+5-y","Aldi Nord","web",0
2016-06-12,66,"DE","today+5-y","Aldi Nord","web",0
2016-06-19,70,"DE","today+5-y","Aldi Nord","web",0
2016-06-26,70,"DE","today+5-y","Aldi Nord","web",0
2016-07-03,63,"DE","today+5-y","Aldi Nord","web",0
2016-07-10,59,"DE","today+5-y","Aldi Nord","web",0
2016-07-17,63,"DE","today+5-y","Aldi Nord","web",0
2016-07-24,69,"DE","today+5-y","Aldi Nord","web",0
2016-07-31,67,"DE","today+5-y","Aldi Nord","web",0
2016-08-07,71,"DE","today+5-y","Aldi Nord","web",0
2016-08-14,75,"DE","today+5-y","Aldi Nord","web",0
2016-08-21,74,"DE","today+5-y","Aldi Nord","web",0
2016-08-28,78,"DE","today+5-y","Aldi Nord","web",0
2016-09-04,71,"DE","today+5-y","Aldi Nord","web",0
2016-09-11,72,"DE","today+5-y","Aldi Nord","web",0
2016-09-18,73,"DE","today+5-y","Aldi Nord","web",0
2016-09-25,69,"DE","today+5-y","Aldi Nord","web",0
2016-10-02,73,"DE","today+5-y","Aldi Nord","web",0
2016-10-09,83,"DE","today+5-y","Aldi Nord","web",0
2016-10-16,85,"DE","today+5-y","Aldi Nord","web",0
2016-10-23,90,"DE","today+5-y","Aldi Nord","web",0
2016-10-30,93,"DE","today+5-y","Aldi Nord","web",0
2016-11-06,97,"DE","today+5-y","Aldi Nord","web",0
2016-11-13,88,"DE","today+5-y","Aldi Nord","web",0
2016-11-20,84,"DE","today+5-y","Aldi Nord","web",0
2016-11-27,82,"DE","today+5-y","Aldi Nord","web",0
2016-12-04,83,"DE","today+5-y","Aldi Nord","web",0
2016-12-11,81,"DE","today+5-y","Aldi Nord","web",0
2016-12-18,77,"DE","today+5-y","Aldi Nord","web",0
2016-12-25,92,"DE","today+5-y","Aldi Nord","web",0
2017-01-01,73,"DE","today+5-y","Aldi Nord","web",0
2017-01-08,66,"DE","today+5-y","Aldi Nord","web",0
